A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
15,13,2,2,PASS,85.64,0.10,2855000
10,4,6,6,PASS,85.64,0.00,2875000
8,6,2,2,PASS,85.74,0.10,2895000
3,3,0,0,PASS,85.84,0.10,2915000
5,1,4,4,PASS,85.84,0.00,2935000
9,7,2,2,PASS,85.94,0.10,2955000
6,12,26,26,PASS,86.04,0.10,2975000
9,4,5,5,PASS,86.04,0.00,2995000
6,5,1,1,PASS,86.04,0.00,3015000
4,3,1,1,PASS,86.13,0.10,3035000
5,6,31,31,PASS,86.13,0.00,3055000
10,11,31,31,PASS,86.23,0.10,3075000
8,3,5,5,PASS,86.33,0.10,3095000
2,3,31,31,PASS,86.43,0.10,3115000
10,4,6,6,PASS,86.43,0.00,3135000
15,2,13,13,PASS,86.52,0.10,3155000
0,10,22,22,PASS,86.62,0.10,3175000
11,7,4,4,PASS,86.62,0.00,3195000
8,0,8,8,PASS,86.62,0.00,3215000
5,13,24,24,PASS,86.72,0.10,3235000
14,9,5,5,PASS,86.82,0.10,3255000
4,11,25,25,PASS,86.82,0.00,3275000
3,8,27,27,PASS,86.82,0.00,3295000
7,13,26,26,PASS,86.82,0.00,3315000
15,9,6,6,PASS,86.91,0.10,3335000
15,15,0,0,PASS,86.91,0.00,3355000
11,8,3,3,PASS,87.01,0.10,3375000
11,14,29,29,PASS,87.11,0.10,3395000
14,8,6,6,PASS,87.21,0.10,3415000
15,4,11,11,PASS,87.21,0.00,3435000
14,12,2,2,PASS,87.21,0.00,3455000
5,2,3,3,PASS,87.21,0.00,3475000
14,14,0,0,PASS,87.21,0.00,3495000
7,15,24,24,PASS,87.30,0.10,3515000
2,0,2,2,PASS,87.30,0.00,3535000
7,0,7,7,PASS,87.30,0.00,3555000
9,9,0,0,PASS,87.30,0.00,3575000
3,13,22,22,PASS,87.30,0.00,3595000
15,9,6,6,PASS,87.30,0.00,3615000
8,8,0,0,PASS,87.30,0.00,3635000
3,4,31,31,PASS,87.40,0.10,3655000
6,12,26,26,PASS,87.40,0.00,3675000
11,4,7,7,PASS,87.50,0.10,3695000
6,1,5,5,PASS,87.50,0.00,3715000
0,6,26,26,PASS,87.60,0.10,3735000
3,10,25,25,PASS,87.70,0.10,3755000
13,7,6,6,PASS,87.79,0.10,3775000
9,8,1,1,PASS,87.79,0.00,3795000
0,13,19,19,PASS,87.89,0.10,3815000
13,4,9,9,PASS,87.99,0.10,3835000
5,3,2,2,PASS,88.09,0.10,3855000
2,2,0,0,PASS,88.18,0.10,3875000
6,15,23,23,PASS,88.28,0.10,3895000
13,9,4,4,PASS,88.38,0.10,3915000
11,0,11,11,PASS,88.38,0.00,3935000
8,12,28,28,PASS,88.48,0.10,3955000
14,4,10,10,PASS,88.48,0.00,3975000
11,10,1,1,PASS,88.57,0.10,3995000
5,0,5,5,PASS,88.67,0.10,4015000
6,15,23,23,PASS,88.67,0.00,4035000
14,0,14,14,PASS,88.77,0.10,4055000
4,3,1,1,PASS,88.77,0.00,4075000
6,12,26,26,PASS,88.77,0.00,4095000
0,7,25,25,PASS,88.77,0.00,4115000
3,11,24,24,PASS,88.77,0.00,4135000
3,1,2,2,PASS,88.87,0.10,4155000
4,5,31,31,PASS,88.87,0.00,4175000
15,6,9,9,PASS,88.96,0.10,4195000
6,13,25,25,PASS,89.06,0.10,4215000
11,9,2,2,PASS,89.16,0.10,4235000
0,7,25,25,PASS,89.16,0.00,4255000
10,9,1,1,PASS,89.16,0.00,4275000
10,7,3,3,PASS,89.26,0.10,4295000
2,15,19,19,PASS,89.26,0.00,4315000
0,7,25,25,PASS,89.26,0.00,4335000
4,12,24,24,PASS,89.26,0.00,4355000
15,12,3,3,PASS,89.36,0.10,4375000
3,4,31,31,PASS,89.36,0.00,4395000
2,10,24,24,PASS,89.45,0.10,4415000
13,11,2,2,PASS,89.45,0.00,4435000
2,2,0,0,PASS,89.45,0.00,4455000
13,10,3,3,PASS,89.55,0.10,4475000
15,14,1,1,PASS,89.65,0.10,4495000
3,9,26,26,PASS,89.75,0.10,4515000
5,15,22,22,PASS,89.84,0.10,4535000
3,6,29,29,PASS,89.84,0.00,4555000
13,10,3,3,PASS,89.84,0.00,4575000
15,10,5,5,PASS,89.84,0.00,4595000
3,8,27,27,PASS,89.84,0.00,4615000
4,1,3,3,PASS,89.94,0.10,4635000
14,1,13,13,PASS,89.94,0.00,4655000
11,10,1,1,PASS,89.94,0.00,4675000
7,10,29,29,PASS,90.04,0.10,4695000
3,1,2,2,PASS,90.04,0.00,4715000
14,4,10,10,PASS,90.04,0.00,4735000
9,10,31,31,PASS,90.14,0.10,4755000
12,5,7,7,PASS,90.14,0.00,4775000
5,14,23,23,PASS,90.23,0.10,4795000
11,4,7,7,PASS,90.23,0.00,4815000
2,10,24,24,PASS,90.23,0.00,4835000
11,3,8,8,PASS,90.23,0.00,4855000
15,1,14,14,PASS,90.23,0.00,4875000
2,9,25,25,PASS,90.33,0.10,4895000
2,12,22,22,PASS,90.43,0.10,4915000
1,9,24,24,PASS,90.53,0.10,4935000
11,8,3,3,PASS,90.53,0.00,4955000
14,14,0,0,PASS,90.53,0.00,4975000
9,0,9,9,PASS,90.53,0.00,4995000
6,4,2,2,PASS,90.62,0.10,5015000
0,3,29,29,PASS,90.62,0.00,5035000
0,12,20,20,PASS,90.72,0.10,5055000
9,5,4,4,PASS,90.82,0.10,5075000
2,13,21,21,PASS,90.92,0.10,5095000
13,9,4,4,PASS,90.92,0.00,5115000
13,4,9,9,PASS,90.92,0.00,5135000
13,13,0,0,PASS,90.92,0.00,5155000
10,0,10,10,PASS,91.02,0.10,5175000
12,7,5,5,PASS,91.11,0.10,5195000
15,6,9,9,PASS,91.11,0.00,5215000
6,9,29,29,PASS,91.21,0.10,5235000
15,14,1,1,PASS,91.21,0.00,5255000
4,1,3,3,PASS,91.21,0.00,5275000
9,3,6,6,PASS,91.31,0.10,5295000
1,3,30,30,PASS,91.31,0.00,5315000
0,4,28,28,PASS,91.41,0.10,5335000
6,2,4,4,PASS,91.50,0.10,5355000
11,1,10,10,PASS,91.60,0.10,5375000
2,12,22,22,PASS,91.60,0.00,5395000
5,0,5,5,PASS,91.60,0.00,5415000
6,0,6,6,PASS,91.70,0.10,5435000
6,13,25,25,PASS,91.70,0.00,5455000
11,4,7,7,PASS,91.70,0.00,5475000
2,14,20,20,PASS,91.70,0.00,5495000
8,13,27,27,PASS,91.80,0.10,5515000
10,1,9,9,PASS,91.89,0.10,5535000
14,8,6,6,PASS,91.89,0.00,5555000
9,0,9,9,PASS,91.89,0.00,5575000
9,10,31,31,PASS,91.89,0.00,5595000
7,6,1,1,PASS,91.89,0.00,5615000
6,2,4,4,PASS,91.89,0.00,5635000
13,1,12,12,PASS,91.99,0.10,5655000
8,14,26,26,PASS,92.09,0.10,5675000
2,3,31,31,PASS,92.09,0.00,5695000
10,12,30,30,PASS,92.19,0.10,5715000
3,4,31,31,PASS,92.19,0.00,5735000
9,0,9,9,PASS,92.19,0.00,5755000
9,8,1,1,PASS,92.19,0.00,5775000
10,7,3,3,PASS,92.19,0.00,5795000
2,6,28,28,PASS,92.29,0.10,5815000
14,10,4,4,PASS,92.38,0.10,5835000
13,3,10,10,PASS,92.48,0.10,5855000
2,8,26,26,PASS,92.48,0.00,5875000
2,3,31,31,PASS,92.48,0.00,5895000
10,12,30,30,PASS,92.48,0.00,5915000
11,7,4,4,PASS,92.48,0.00,5935000
3,4,31,31,PASS,92.48,0.00,5955000
3,14,21,21,PASS,92.48,0.00,5975000
14,10,4,4,PASS,92.48,0.00,5995000
5,5,0,0,PASS,92.58,0.10,6015000
1,2,31,31,PASS,92.58,0.00,6035000
6,10,28,28,PASS,92.58,0.00,6055000
12,5,7,7,PASS,92.58,0.00,6075000
5,4,1,1,PASS,92.68,0.10,6095000
11,0,11,11,PASS,92.68,0.00,6115000
14,14,0,0,PASS,92.68,0.00,6135000
7,15,24,24,PASS,92.68,0.00,6155000
13,14,31,31,PASS,92.77,0.10,6175000
10,1,9,9,PASS,92.77,0.00,6195000
2,0,2,2,PASS,92.77,0.00,6215000
9,12,29,29,PASS,92.77,0.00,6235000
15,2,13,13,PASS,92.77,0.00,6255000
15,0,15,15,PASS,92.87,0.10,6275000
2,13,21,21,PASS,92.87,0.00,6295000
6,1,5,5,PASS,92.87,0.00,6315000
10,0,10,10,PASS,92.87,0.00,6335000
14,13,1,1,PASS,92.97,0.10,6355000
14,6,8,8,PASS,93.07,0.10,6375000
10,13,29,29,PASS,93.16,0.10,6395000
8,10,30,30,PASS,93.16,0.00,6415000
1,14,19,19,PASS,93.16,0.00,6435000
15,12,3,3,PASS,93.16,0.00,6455000
15,7,8,8,PASS,93.16,0.00,6475000
9,1,8,8,PASS,93.26,0.10,6495000
15,9,6,6,PASS,93.26,0.00,6515000
8,9,31,31,PASS,93.36,0.10,6535000
6,3,3,3,PASS,93.36,0.00,6555000
4,0,4,4,PASS,93.46,0.10,6575000
6,3,3,3,PASS,93.46,0.00,6595000
8,11,29,29,PASS,93.55,0.10,6615000
5,12,25,25,PASS,93.55,0.00,6635000
13,2,11,11,PASS,93.65,0.10,6655000
1,9,24,24,PASS,93.65,0.00,6675000
13,11,2,2,PASS,93.65,0.00,6695000
0,1,31,31,PASS,93.75,0.10,6715000
14,9,5,5,PASS,93.75,0.00,6735000
2,7,27,27,PASS,93.75,0.00,6755000
7,6,1,1,PASS,93.75,0.00,6775000
15,8,7,7,PASS,93.85,0.10,6795000
2,13,21,21,PASS,93.85,0.00,6815000
6,7,31,31,PASS,93.85,0.00,6835000
0,1,31,31,PASS,93.85,0.00,6855000
7,0,7,7,PASS,93.85,0.00,6875000
7,1,6,6,PASS,93.85,0.00,6895000
5,3,2,2,PASS,93.85,0.00,6915000
15,7,8,8,PASS,93.85,0.00,6935000
13,0,13,13,PASS,93.85,0.00,6955000
15,6,9,9,PASS,93.85,0.00,6975000
6,13,25,25,PASS,93.85,0.00,6995000
0,15,17,17,PASS,93.95,0.10,7015000
0,8,24,24,PASS,93.95,0.00,7035000
2,1,1,1,PASS,94.04,0.10,7055000
2,0,2,2,PASS,94.04,0.00,7075000
10,14,28,28,PASS,94.14,0.10,7095000
1,5,28,28,PASS,94.14,0.00,7115000
6,8,30,30,PASS,94.24,0.10,7135000
15,14,1,1,PASS,94.24,0.00,7155000
10,13,29,29,PASS,94.24,0.00,7175000
11,6,5,5,PASS,94.34,0.10,7195000
2,13,21,21,PASS,94.34,0.00,7215000
13,3,10,10,PASS,94.34,0.00,7235000
15,4,11,11,PASS,94.34,0.00,7255000
14,1,13,13,PASS,94.34,0.00,7275000
1,5,28,28,PASS,94.34,0.00,7295000
1,11,22,22,PASS,94.34,0.00,7315000
2,5,29,29,PASS,94.43,0.10,7335000
13,13,0,0,PASS,94.43,0.00,7355000
14,3,11,11,PASS,94.43,0.00,7375000
1,7,26,26,PASS,94.53,0.10,7395000
12,2,10,10,PASS,94.63,0.10,7415000
14,7,7,7,PASS,94.63,0.00,7435000
0,8,24,24,PASS,94.63,0.00,7455000
0,9,23,23,PASS,94.73,0.10,7475000
4,10,26,26,PASS,94.82,0.10,7495000
9,13,28,28,PASS,94.92,0.10,7515000
15,6,9,9,PASS,94.92,0.00,7535000
13,5,8,8,PASS,94.92,0.00,7555000
8,11,29,29,PASS,94.92,0.00,7575000
13,12,1,1,PASS,94.92,0.00,7595000
1,11,22,22,PASS,94.92,0.00,7615000
6,14,24,24,PASS,94.92,0.00,7635000
0,0,0,0,PASS,94.92,0.00,7655000
2,15,19,19,PASS,94.92,0.00,7675000
11,12,31,31,PASS,94.92,0.00,7695000
14,9,5,5,PASS,94.92,0.00,7715000
4,0,4,4,PASS,94.92,0.00,7735000
1,2,31,31,PASS,94.92,0.00,7755000
2,7,27,27,PASS,94.92,0.00,7775000
12,8,4,4,PASS,95.02,0.10,7795000
6,15,23,23,PASS,95.02,0.00,7815000
4,7,29,29,PASS,95.12,0.10,7835000
8,11,29,29,PASS,95.12,0.00,7855000
7,8,31,31,PASS,95.12,0.00,7875000
8,7,1,1,PASS,95.21,0.10,7895000
6,11,27,27,PASS,95.31,0.10,7915000
14,10,4,4,PASS,95.31,0.00,7935000
14,6,8,8,PASS,95.31,0.00,7955000
15,0,15,15,PASS,95.31,0.00,7975000
10,4,6,6,PASS,95.31,0.00,7995000
10,3,7,7,PASS,95.41,0.10,8015000
4,15,21,21,PASS,95.41,0.00,8035000
1,13,20,20,PASS,95.51,0.10,8055000
12,7,5,5,PASS,95.51,0.00,8075000
9,15,26,26,PASS,95.51,0.00,8095000
3,2,1,1,PASS,95.51,0.00,8115000
5,0,5,5,PASS,95.51,0.00,8135000
4,8,28,28,PASS,95.61,0.10,8155000
0,2,30,30,PASS,95.70,0.10,8175000
9,12,29,29,PASS,95.70,0.00,8195000
1,13,20,20,PASS,95.70,0.00,8215000
9,7,2,2,PASS,95.70,0.00,8235000
8,12,28,28,PASS,95.70,0.00,8255000
5,15,22,22,PASS,95.70,0.00,8275000
7,6,1,1,PASS,95.70,0.00,8295000
1,13,20,20,PASS,95.70,0.00,8315000
0,6,26,26,PASS,95.70,0.00,8335000
13,5,8,8,PASS,95.70,0.00,8355000
11,7,4,4,PASS,95.70,0.00,8375000
5,8,29,29,PASS,95.80,0.10,8395000
2,2,0,0,PASS,95.80,0.00,8415000
0,8,24,24,PASS,95.80,0.00,8435000
11,14,29,29,PASS,95.80,0.00,8455000
14,4,10,10,PASS,95.80,0.00,8475000
10,2,8,8,PASS,95.90,0.10,8495000
0,9,23,23,PASS,95.90,0.00,8515000
15,0,15,15,PASS,95.90,0.00,8535000
11,15,28,28,PASS,95.90,0.00,8555000
9,8,1,1,PASS,95.90,0.00,8575000
4,11,25,25,PASS,95.90,0.00,8595000
14,12,2,2,PASS,95.90,0.00,8615000
14,4,10,10,PASS,95.90,0.00,8635000
11,4,7,7,PASS,95.90,0.00,8655000
7,2,5,5,PASS,96.00,0.10,8675000
11,3,8,8,PASS,96.00,0.00,8695000
5,13,24,24,PASS,96.00,0.00,8715000
13,9,4,4,PASS,96.00,0.00,8735000
8,3,5,5,PASS,96.00,0.00,8755000
12,10,2,2,PASS,96.09,0.10,8775000
6,2,4,4,PASS,96.09,0.00,8795000
9,7,2,2,PASS,96.09,0.00,8815000
8,2,6,6,PASS,96.19,0.10,8835000
3,2,1,1,PASS,96.19,0.00,8855000
10,1,9,9,PASS,96.19,0.00,8875000
12,4,8,8,PASS,96.19,0.00,8895000
11,0,11,11,PASS,96.19,0.00,8915000
11,3,8,8,PASS,96.19,0.00,8935000
3,14,21,21,PASS,96.19,0.00,8955000
10,4,6,6,PASS,96.19,0.00,8975000
10,2,8,8,PASS,96.19,0.00,8995000
13,10,3,3,PASS,96.19,0.00,9015000
7,4,3,3,PASS,96.29,0.10,9035000
8,2,6,6,PASS,96.29,0.00,9055000
11,12,31,31,PASS,96.29,0.00,9075000
5,12,25,25,PASS,96.29,0.00,9095000
9,12,29,29,PASS,96.29,0.00,9115000
15,7,8,8,PASS,96.29,0.00,9135000
1,5,28,28,PASS,96.29,0.00,9155000
9,7,2,2,PASS,96.29,0.00,9175000
1,6,27,27,PASS,96.29,0.00,9195000
4,6,30,30,PASS,96.39,0.10,9215000
15,13,2,2,PASS,96.39,0.00,9235000
9,7,2,2,PASS,96.39,0.00,9255000
4,15,21,21,PASS,96.39,0.00,9275000
13,7,6,6,PASS,96.39,0.00,9295000
8,6,2,2,PASS,96.39,0.00,9315000
4,0,4,4,PASS,96.39,0.00,9335000
13,1,12,12,PASS,96.39,0.00,9355000
7,6,1,1,PASS,96.39,0.00,9375000
2,11,23,23,PASS,96.39,0.00,9395000
15,8,7,7,PASS,96.39,0.00,9415000
12,9,3,3,PASS,96.48,0.10,9435000
8,7,1,1,PASS,96.48,0.00,9455000
10,4,6,6,PASS,96.48,0.00,9475000
5,12,25,25,PASS,96.48,0.00,9495000
5,2,3,3,PASS,96.48,0.00,9515000
11,9,2,2,PASS,96.48,0.00,9535000
7,13,26,26,PASS,96.48,0.00,9555000
9,14,27,27,PASS,96.48,0.00,9575000
14,1,13,13,PASS,96.48,0.00,9595000
5,3,2,2,PASS,96.48,0.00,9615000
11,9,2,2,PASS,96.48,0.00,9635000
10,5,5,5,PASS,96.48,0.00,9655000
13,10,3,3,PASS,96.48,0.00,9675000
14,12,2,2,PASS,96.48,0.00,9695000
12,4,8,8,PASS,96.48,0.00,9715000
7,13,26,26,PASS,96.48,0.00,9735000
11,11,0,0,PASS,96.58,0.10,9755000
6,12,26,26,PASS,96.58,0.00,9775000
10,11,31,31,PASS,96.58,0.00,9795000
11,0,11,11,PASS,96.58,0.00,9815000
11,0,11,11,PASS,96.58,0.00,9835000
8,11,29,29,PASS,96.58,0.00,9855000
7,14,25,25,PASS,96.58,0.00,9875000
2,4,30,30,PASS,96.68,0.10,9895000
7,1,6,6,PASS,96.68,0.00,9915000
14,0,14,14,PASS,96.68,0.00,9935000
13,12,1,1,PASS,96.68,0.00,9955000
3,2,1,1,PASS,96.68,0.00,9975000
9,3,6,6,PASS,96.68,0.00,9995000
